IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,FLOW_DURATION_MILLISECONDS,OUT_PKTS,OUT_BYTES,IN_PKTS,IN_BYTES,L7_PROTO,TCP_FLAGS,Attack
192.168.31.148,52826,114.114.114.114,53,17,37,1,113,1,190,DNS.Azure,0,Benign
192.168.31.148,44201,114.114.114.114,53,17,39,1,100,1,184,DNS.Canonical,0,Benign
192.168.31.148,46820,140.82.112.22,443,6,1242,13,8863,16,3953,TLS,24,Benign
192.168.31.148,54905,114.114.114.114,53,17,37,1,100,1,187,DNS.Github,0,Benign
192.168.31.148,47540,8.8.8.8,53,6,94,5,457,4,558,DNS,26,Benign
192.168.31.80,56765,192.168.31.148,22,6,1747,6,730,6,624,SSH,24,Benign
192.168.31.80,56765,192.168.31.148,22,6,0,1,138,1,54,SSH,16,Benign
192.168.31.148,59214,13.89.178.27,443,6,509,9,22078,9,693,TLS,24,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
192.168.31.80,56765,192.168.31.148,22,6,2348,7,748,7,670,SSH,24,Benign
192.168.31.148,47892,52.168.117.175,443,6,1562,12,9676,9,5654,TLS,27,Benign
8.8.8.8,53,192.168.31.148,47534,6,49,2,132,1,66,DNS,17,Benign
192.168.31.148,57600,140.82.113.22,443,6,1590,19,23936,18,7922,TLS,31,Benign
192.168.31.148,58404,205.147.105.78,443,6,48,1,66,1,66,TLS,16,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
192.168.31.80,56765,192.168.31.148,22,6,8958,277,41798,259,91110,SSH,24,Benign
192.168.31.80,56765,192.168.31.148,22,6,1942,5,536,5,554,SSH,24,Benign
140.82.112.22,443,192.168.31.148,46814,6,5432,448,556411,381,25909,TLS,24,Benign
192.168.31.80,56765,192.168.31.148,22,6,53,2,214,2,208,SSH,24,Benign
192.168.31.148,50023,114.55.178.236,31854,6,32,2,134,1,68,MQTT,24,Benign
192.168.31.148,57604,140.82.113.22,443,6,2052,44,95328,66,11090,TLS,31,Benign
192.200.0.115,443,192.168.31.148,49550,6,0,1,151,1,66,TLS,16,Benign
192.168.31.148,46814,140.82.112.22,443,6,271,2,171,2,171,TLS,24,Benign
8.8.8.8,53,192.168.31.148,47540,6,47,2,132,1,66,DNS,17,Benign
